timestamp,50000,Bibi / Netanyahu,Drill Baby Drill,Melania,Mutilation / Mutilization,Sleepy Joe,Transgender,Windmill,Who are you with / Where are you from,Warsh,Autopen / Auto Pen,Communist / Communism,Crypto / Bitcoin,Discombobulator,Epstein,Golden Dome,Karoline / Leavitt,Marijuana / Weed / Cannabis,Mog / Mogged / Mogging,Newscum,Pope,Prediction Market / Predictive Market,Rigged Election / Stolen Election,Stupid Question,Thug,Uranium,Autism,Barack Hussein Obama,Hottest,Landslide,TDS / Trump Derangement Syndrome
2026-05-12T00:00:00Z,84.65,71.98,51.11,85.52,70.18,93.91,84.78,45.51,59.81,52.25,48.56,57.05,35.87,6.77,24.09,12.34,31.21,17.85,2.05,69.02,45.49,17.19,77.97,49.88,61.30,47.27,98.28,97.90,97.78,98.21,98.58
2026-05-13T00:00:00Z,77.91,98.43,43.40,74.30,97.15,99.00,97.94,55.76,60.70,58.54,39.59,51.69,23.31,6.59,21.87,17.89,21.03,9.68,1.97,57.90,34.91,9.47,66.83,41.09,57.35,46.36,98.28,97.90,97.78,98.21,98.58
2026-05-14T00:00:00Z,66.82,99.00,37.29,68.67,99.00,99.00,99.00,32.87,52.58,67.62,38.11,55.69,20.93,2.87,22.58,31.02,22.25,9.05,1.94,45.03,24.29,8.00,60.80,46.56,52.87,40.54,98.28,97.90,97.78,98.21,98.58
2026-05-15T00:00:00Z,88.82,99.00,83.24,87.38,99.00,99.00,99.00,20.17,38.86,57.41,23.71,37.51,17.81,1.98,14.43,18.03,11.74,6.75,1.95,29.37,15.30,6.00,42.29,27.47,37.29,34.88,98.28,97.90,97.78,98.21,98.58
2026-05-16T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,96.69,53.78,50.50,20.69,42.38,10.49,1.23,8.33,7.69,8.72,5.03,1.55,28.49,11.70,4.47,32.76,16.33,24.93,11.51,98.28,97.90,97.78,98.21,98.58
2026-05-17T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,28.61,40.77,11.67,20.30,4.86,1.40,4.66,4.09,5.42,3.60,1.09,17.36,5.95,2.87,18.64,7.07,18.57,6.71,98.28,97.90,97.78,98.21,98.58
2026-05-18T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.92,85.50,12.78,1.96,4.45,4.15,1.67,2.83,2.02,3.86,2.19,1.00,3.00,3.79,2.11,4.72,4.55,10.33,6.87,98.28,97.90,97.78,98.21,98.58
